Currency Code,Buy Rate,Sell Rate,Cross Rate,Date Updated
348,,,0.112800,2024-05-22 12:30:24.229132+00:00
360,,,0.002500,2024-05-22 12:30:24.233208+00:00
376,,,10.890400,2024-05-22 12:30:24.236621+00:00
356,,,0.480200,2024-05-22 12:30:24.240164+00:00
368,,,0.030500,2024-05-22 12:30:24.244303+00:00
352,,,0.289200,2024-05-22 12:30:24.247771+00:00
400,,,56.469100,2024-05-22 12:30:24.251020+00:00
404,,,0.305100,2024-05-22 12:30:24.254273+00:00
417,,,0.453000,2024-05-22 12:30:24.256982+00:00
116,,,0.009800,2024-05-22 12:30:24.260226+00:00
410,,,0.029500,2024-05-22 12:30:24.263358+00:00
414,,,130.339700,2024-05-22 12:30:24.266363+00:00
